"HolderAddress","Balance","PendingBalanceUpdate"
"0x4f6f99828b204bbe6f7a2d014166537e37acb82c","52,967,806.1","No"
"0x3a27b005cf0fdb6a53a5fc40964316b17279c96e","590,000","No"
"0x5038f9029eead091930d0eb759aec864b4327ce0","331,459.566795285805353174","No"
"0x244265a76901b8030b140a2996e6dd4703cbf20f","233,118.71471498765798674","No"
"0xb9948503c21cd918adc48d1c77c522c1c5325e72","184,612.388464092932243516","No"
"0xd2938e7c9fe3597f78832ce780feb61945c377d7","10,000","No"
"0xc2e5329356eb06d97406260aea056891f8477c0a","7,951.53922234958271769","No"
"0x5f42b09d4bcb337580bf81889df35eea44350494","4,865.343993727881719337","No"
"0x7f6964ed88f2ccbde3a96a06debb90b76ed1b0dc","1,519.280390592877318538","No"
"0xc294fea53deae906fd7e8e67952ea241fcd06d79","1,500","No"
"0x382ffce2287252f930e1c8dc9328dac5bf282ba1","1,431.608883190440288214","No"
"0xc1984df3e3ddc1dc24d54179ccd5537e290c7e9c","1,412.801192639419088112","No"
"0x31f455eb41b0d202935ecd6e44ee242eab44309a","772.452679945253411127","No"
"0x9008d19f58aabd9ed0d60971565aa8510560ab41","704.188805162389091536","No"
"0x2ec2e2574b7bae4de3df922c25c3207580a1b341","300","No"
"0x1aafacc008099845d6c35df8c5925c8e659c4400","147.946085007231476952","No"
"0x5d64d14d2cf4fe5fe4e65b1c7e3d11e18d493091","70.810095701083063761","No"
"0x7e59691f6b72d8cc5c64fb6eb4b00f28117802e8","46.759459648911350519","No"
"0x5ef27fa4e91907b0279af66af0c8a2be887275f8","34.34297226397637867","No"
"0xad01c20d5886137e056775af56915de824c8fce5","29.561659209278090389","No"
"0x25b4048c3b3c58973571db2dbbf87103f7406966","25.396049537314190099","No"
"0xd23860df6c812924f21cf1c53bd28dbbcfd1539a","16.059182467277192383","No"
"0x03fa08f976461c54299c96179610b2eb5b8c1476","4.520725999901635991","No"
"0x5078e91df99490ef44e35ddde3246172d22d29bc","3.623162869063039182","No"
"0x7cff7c3c1f150a59a202cf5ec1bb8b57908e385e","2.249371749916651266","No"
"0x7429c5e1dfb3abcc255ca5eb4b8c7ee09f23cfe0","1.757972115526032304","No"
"0x4cb16d4153123a74bc724d161050959754f378d8","0.994282407407407408","No"
"0xf19798632b09be64d5e34e80d6cd17e421fb447e","0.984517490155606035","No"
"0x1a31b465cbff3e6ca8a8e1db9d1ddeb773720ab6","0.910616923234347527","No"
"0xa684055cb436eee5b60ced073abc56b6c3ece8b0","0.66667154943351374","No"
"0x5e71217e05f5c42902faf7b2621859f11ad4d064","0.451047368495459282","No"
"0x9460868a9ee7d5280ec76010240fbbc4233cbe6b","0.32971216904565228","No"
"0xda863f802cc8cba3c436bf801bd7785d9e7d4f36","0.108798215239686826","No"
"0x41685926a6372e0a3a777ed8b2221171d3022560","0.089774075817927188","No"
"0x8eb3700c8d02abdfa6c4ca5976c7ba86be34422b","0.000241878105681172","No"
"0x11ddd59c33c73c44733b4123a86ea5ce57f6e854","0.000000000000000001","No"
"0x1111111254eeb25477b68fb85ed929f73a960582","0.000000000000000001","No"
"0xc7d3ab410d49b664d03fe5b1038852ac852b1b29","0.000000000000000001","No"
"0xe37e799d5077682fa0a244d46e5649f71457bd09","0.000000000000000001","No"
